EmergencyErrorCode,Group,Event,Description,Event_ID
0x80A0,Motor,ACCurrentMeasPlausibilityError,"

    

     Description

     Event is set if the reference AC voltage is higher than what the measured AC current indicates. 

     This indicates that one or more motor phase cables are not connected properly 

     or faulty current measurement sensor(s).

     

     The event is set if all the following conditions are full-filled for at least 50ms: 

     

      ABS(ActualSpeed) < ACCurrentMeasSpeedLimit

      RmsMotorCurrent < ACCurrentMeasCurrentLimit / 100 * HwDetectedMaxCurrent

      UPeakNormalized > ACCurrentMeasUpeakLimit / 100 * UPeakLimit

      FilteredVoltage > ACCurrentMeasDcVoltageLimit / 100 * NominalVoltage

     

     When is event evaluated

     When enabled, when Electric Motor Brake Mode is not active, when Over Voltage Protection is not active, when Current Control is enabled and when Auto Tuning is not active. 

     Related parameters

     IndependentSupervision, ACCurrentMeasSpeedLimit

     IndependentSupervision, ACCurrentMeasCurrentLimit

     IndependentSupervision, ACCurrentMeasUpeakLimit    

     IndependentSupervision, ACCurrentMeasDcVoltageLimit    

    

   ",309
0x80B0,Motor,FrequencyAbove599Hz,"

    

     Description

     Event is set if the electric frequency is evaluated to be above 599Hz.

     This event must be configured to trip power stage. 

     Changing the configuration of this event in a library version of Plasma3 will have no effect. 

     When is event evaluated

     Always

     Related parameters

     No related parameters.  

    

   ",320
0x3212,DC Bus,HighVoltageHardware,"

    

     Description

     HW detected over voltage. Level is defined by HW design.

     When is event evaluated

     Always

     Related parameters

     No related parameters.

    

   ",402
,DC Bus,ModeratelyHigh,"

    

     Description

     Event is set if measured voltage is above predefined level.

     Max allowed current is reduced linearly. Hystereris level of 1 V for setting/clearing event.

     Limits: See related parameters.

     When is event evaluated

     Always

     Related parameters

     DcBus, HighWarningLevel

     DcBus, HighVoltageReductionEndLevel

     CurrentLimit, AbilityBrakeCurrent

    

   ",403
0x3211,DC Bus,High,"

    

    Description

     Event is set if measured voltage is above predefined level.

     Hysteresis level of 1V for setting/clearing event.

     Limits: See related parameters.

     When is event evaluated

     Always

     Related parameters

     DcBus, HighTripLevel 

    

   ",404
,DC Bus,ModeratelyLow,"

    

     Description

     Event is set if measured voltage is below predefined level.

     Max allowed current is reduced linearly. Hystereris level of 1 V for setting/clearing event.

     Limits: See related parameters.

     When is event evaluated

     When ignore low DC bus bit is not active

     Related parameters

     DcBus, LowWarningLevel

     DcBus, LowVoltageReductionEndLevel

     CurrentLimit, AbilityAccelerationCurrent

    

   ",405
0x3221,DC Bus,Low,"

    

     Description

     Event is set if measured voltage is below predefined level.

     Hysteresis level of 1V for setting/clearing event.

     Limits: See related parameters.

     When is event evaluated

     When ignore low DC bus bit is not active

     Related parameters

     DcBus, LowTripLevel 

    

   ",406
0x3120,DC Bus,ChargingError,"

    

     Description

     Event is set if measured voltage is below predefined level after a predefined time at startup.

     Limits: See related parameters.

     When is event evaluated

     At startup

     Related parameters

     DcBus, ChargingLevel

     DcBus, MaxChargeTime

    

   ",407
,DC Bus,DefaultValues,"

    

     Description

     Event is set when default values are loaded from Eeprom (either due to checksum error on segment or commanded by user).

     Indicates that the drive is not calibrated. 

     When is event evaluated

     At startup

     Related parameters

     DcBus, DcBusCalValueGain

     DcBus, DcBusCalValueOffset

     DcBus, SetDcBusCalValuesDefault

    

   ",408
0x4320,Power Stage Temperature Sensor,NotConnected,"

    

     Description

     Event is set if internal Power Stage temperature sensor is not connected.

     SW algorithm: Temperature measurement is out of range.

     Limits: Event is set when sensor measures 130     deg celsius

     When is event evaluated

     Always

     Related parameters

     PowerStageTemperature, Temperature    

    

   ",500
0x4320,Power Stage Temperature Sensor,ShortCircuit,"

    

     Description

     Event is set if internal Power Stage temperature sensor is short circuited.

     SW algorithm: Temperature measurement is out of range.

     Limits: Event is set when sensor measures -50     deg celsius

     When is event evaluated

     Always

     Related parameters

     PowerStageTemperature, Temperature

    

   ",501
,Power Stage Temperature Sensor,ModeratelyHigh,"

    

     Description

     Event is set if internal Power Stage temperature is above predefined level.

     Max allowed accelerating AC current is reduced linearly.

     Optionally Max allowed brakeing AC current is reduced linearly.

     Limits: Event is set at HeatSinkHighWarningLevel deg celcius where reduction of AC current starts. 

     At HeatSinkReductionEndHighLevel deg celsius AC current is reduced to 0.

     If HeatSinkReductionEndHighLevel is 0 reduction is in-active.

     

      HeatSinkHighWarningLevel = 85     

      HeatSinkReductionEndHighLevel = 125    

      

     When is event evaluated

     When sensor is connected and not short circuit

     Related parameters

     PowerStageTemperature, Temperature

     CurrentLimit, AbilityAccelerationCurrent

     CurrentLimit, AbilityBrakeCurrent

    

   ",502
0x4310,Power Stage Temperature Sensor,High,"

    

     Description

     Event is set if internal Power Stage temperature is above predefined level.

     Limits: Event is set at 110     deg celsius.

     When is event evaluated

     When sensor is connected and not short circuit

     Related parameters

     PowerStageTemperature, Temperature

    

   ",503
,Power Stage Temperature Sensor,ModeratelyLow,"

    

     Description

     Event is set if internal Power Stage temperature is below predefined level.

     Max allowed accelerating AC current is reduced linearly.

     Optionally Max allowed brakeing AC current is reduced linearly. 

     Limits: Event is set at HeatSinkLowWarningLevel deg celcius where reduction of AC current starts. 

     At HeatSinkReductionEndLowLevel deg celsius AC current is reduced to 0.

     If HeatSinkReductionEndLowLevel is 0 reduction is in-active.

     

      HeatSinkLowWarningLevel = -20    

      HeatSinkReductionEndLowLevel = -70    

         

     When is event evaluated

     When sensor is connected and not short circuit

     Related parameters

     PowerStageTemperature, Temperature    

     CurrentLimit, AbilityAccelerationCurrent

     CurrentLimit, AbilityBrakeCurrent

    

   ",504
0x4220,Motor Temperature Sensor,NotConnected,"

    

    Description

     Event is set if motor temperature sensor is not connected.

     SW algorithm: Temperature measurement is out of range.

     Limits: Event is set when sensor measures 210 deg celsius

     Note: If the resistance decreases with increasing temperature, such

     as for an NTC sensor, this event signals a short-circuit instead.

     When is event evaluated

     Always

     Related parameters

     MotorTemperature, Temperature

    

   ",600
0x4220,Motor Temperature Sensor,ShortCircuit,"

    

     Description

     Event is set if motor temperature sensor is short circuited.

     SW algorithm: Temperature measurement is out of range.

     Limits: Event is set when sensor measures -50 deg celsius

     Note: If the resistance decreases with increasing temperature, such

     as for an NTC sensor, this event signals a not connected sensor instead.

     When is event evaluated

     Always

     Related parameters

     MotorTemperature, Temperature

    

   ",601
,Motor Temperature Sensor,ModeratelyHigh,"

    

     Description

     Event is set if motor temperature is above predefined level.

     Max allowed accelerating AC current is reduced linearly.

     Optionally Max allowed brakeing AC current is reduced linearly.

     Limits: Event is set at MotorHighWarningLevel deg celcius where reduction of AC current starts. 

     At MotorReductionEndHighLevel deg celsius AC current is reduced to 0.

     If MotorReductionEndHighLevel is 0 reduction is in-active.

     

      MotorHighWarningLevel = 155

      MotorReductionEndHighLevel = 165

     

     When is event evaluated

     When sensor is connected and not short circuit

     Related parameters

     MotorTemperature, Temperature

     MotorTemperature, ModeratelyHighLevel

     MotorTemperature, ReductionEndHighLevel

    

   ",602
0x4210,Motor Temperature Sensor,High,"

    

     Description

     Event is set if motor temperature is above predefined level.

     Limits: Event is set at 180 deg celsius. 

     When is event evaluated

     When sensor is connected and not short circuit

     Related parameters

     MotorTemperature, Temperature

     MotorTemperature, HighLevel

    

   ",603
,Motor Temperature Sensor,ModeratelyLow,"

    

     Event is set if motor temperature is below predefined level.

     Max allowed accelerating AC current is reduced linearly.

     Optionally Max allowed brakeing AC current is reduced linearly.

     Limits: Event is set at MotorLowWarningLevel deg celcius where reduction of AC current starts. 

     At MotorReductionEndLowLevel deg celsius AC current is reduced to 0.

     If MotorReductionEndLowLevel is 0 reduction is in-active.

     

      MotorHighWarningLevel = -35

      MotorReductionEndLowLevel = 0

     

     When is event evaluated

     When sensor is connected and not short circuit

     Related parameters

     MotorTemperature, Temperature

     MotorTemperature, ModeratelyLowLevel

     MotorTemperature, ReductionEndLowLevel

    

   ",604
,Pcb Temperature Sensor,NotConnected,"

    

     Description

     Event is set if internal PCB temperature sensor is not connected.

     SW algorithm: Temperature measurement is out of range.

     Limits: Event is set when sensor measures 120     deg celsius

     When is event evaluated

     Always

     Related parameters

     PCBTemperature, Temperature

    

   ",700
,Pcb Temperature Sensor,ShortCircuit,"

    

     Description

     Event is set if internal PCB temperature sensor is short circuited.

     SW algorithm: Temperature measurement is out of range.

     Limits: Event is set when sensor measures -50     deg celsius

     When is event evaluated

     Always

     Related parameters

     PCBTemperature, Temperature

    

   ",701
,Pcb Temperature Sensor,ModeratelyHigh,"

    

     Description

     Event is set if measured temperature is above predefined level.

     Limits: Event is set at 80      deg celsius.

     When is event evaluated

     When sensor is connected and not short circuit

     Related parameters

     PCBTemperature, Temperature

    

   ",702
,Pcb Temperature Sensor,High,"

    

     Description

     Event is set if measured temperature is above predefined level.

     Limits: Event is set at 95      deg celsius.

     When is event evaluated

     When sensor is connected and not short circuit

     Related parameters

     PCBTemperature, Temperature

    

   ",703
,Pcb Temperature Sensor,ModeratelyLow,"

    

     Description

     Event is set if measured temperature is below predefined level.

     Limits: Event is set at -45     deg celsius.

     When is event evaluated

     When sensor is connected and not short circuit

     Related parameters

     PCBTemperature, Temperature

    

   ",704
0x7240,Encoder Feedback Sensor,DecTooHigh,"

        

         Description

         Event is set if change of sensor speed is too high (measured rotor acceleration).

         Detected if sensor is faulty during more than 40 ms +/-1ms or if there is been to many intermittent faults within a certain time. When the sensor value is valid the glitch counter is decreased with one (1) every 1ms. If the counter reaches 80, the DecTooHigh event is set.

         Evaluated at 1 kHz. Checked at 50 Hz.

         Limits: 1000rpm/20ms

         When is event evaluated

         Always.

         Related parameters

         No related parameters.

        

      ",804
0x7260,Encoder Feedback Sensor,DecTooHighGlitch,"

        

         Description

         Event is set if intermittent change of sensor speed is too high (measured rotor deceleration) and DecTooHigh event is not detected.

         Event is cleared if enable command transits from enable to disable.

         The glitch counter is increased with two (2) every 1ms as long as the sensor value is not valid during and following a fault.

         Evaluated at 1 kHz. Checked at 50 Hz.

         When is event evaluated

         Always.

         Related parameters

         No related parameters.

        

      ",826
0x7250,Encoder Feedback Sensor,PlausabilityError,"

        

         Description

         Event is set if the sensor speed is too high, i.e a not plausible/possible speed.

         Limits: 15000rpm

         When is event evaluated

         When drive is enabled.

         Related parameters

         No related parameters.

        

      ",805
0x7360,Encoder Feedback Sensor,Loss_Of_Ch_A,"

        

         Description

         Event is set if only Ch B is toggling and Ch A is not.

         When is event evaluated

         When drive is enabled and previous speed has to be above PulseCheckChannelLowSpeedLimit and channel B 

         be must be toggling at 1kHz or below.

         Counted at 4 kHz. Checked at 50 Hz.

         Related parameters

          SensorBearingFeedback, PulseCheckChannelLowSpeedLimit

        

      ",802
0x7370,Encoder Feedback Sensor,Loss_Of_Ch_B,"

        

         Description

         Event is set if only Ch A is toggling and Ch B is not.

         When is event evaluated

         When drive is enabled and previous speed has to be above PulseCheckChannelLowSpeedLimit and channel A 

         be must be toggling at 1kHz or below.

         Counted at 4 kHz. Checked at 50 Hz.

         Related parameters

          SensorBearingFeedback, PulseCheckChannelLowSpeedLimit

        

      ",803
0x7351,Encoder Feedback Sensor,BadOrShortedInputs,"

        

        Bad state machine transition, can indicate shorted inputs. This detection is active from 0 upto aprox. +-250 Hz. When using a 64 PPR sensor, the range can be interpreted as RPM 

        Evaluated at 4 kHz. Checked at 50 Hz.

        When is event evaluated

        Always

        Related parameters

        No related parameters.

        

      ",827
0x5411,Open Drain Output,ShortCircuitCh1,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1001
0x5411,Open Drain Output,HighCurrentCh1,"

        

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

        

      ",1021
0x5451,Open Drain Output,NotConnectedCh1,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

    	

      ",1011
0x5461,Open Drain Output,CurrMeasWhenOffCh1,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1031
0x5412,Open Drain Output,ShortCircuitCh2,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1002
0x5452,Open Drain Output,NotConnectedCh2,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

        

      ",1012
0x5412,Open Drain Output,HighCurrentCh2,"

    	

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

    	

      ",1022
0x5462,Open Drain Output,CurrMeasWhenOffCh2,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1032
0x5413,Open Drain Output,ShortCircuitCh3,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1003
0x5413,Open Drain Output,HighCurrentCh3,"

        

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

        

      ",1023
0x5453,Open Drain Output,NotConnectedCh3,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

        

      ",1013
0x5463,Open Drain Output,CurrMeasWhenOffCh3,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1033
0x5414,Open Drain Output,ShortCircuitCh4,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1004
0x5414,Open Drain Output,HighCurrentCh4,"

        

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

        

      ",1024
0x5454,Open Drain Output,NotConnectedCh4,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

    	

      ",1014
0x5464,Open Drain Output,CurrMeasWhenOffCh4,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1034
0x5415,Open Drain Output,ShortCircuitCh5,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1005
0x5415,Open Drain Output,HighCurrentCh5,"

        

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

        

      ",1025
0x5455,Open Drain Output,NotConnectedCh5,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

        

      ",1015
0x5465,Open Drain Output,CurrMeasWhenOffCh5,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1035
0x5416,Open Drain Output,ShortCircuitCh6,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When Open Drain output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

      ",1006
0x5416,Open Drain Output,HighCurrentCh6,"

      

        Description

        Set when Peak Overcurrent or Overload is detected.

        When is event evaluated

        When Open Drain output is enabled. Peak trip level detected within 1-5ms ms and 

        Overload after 10s of overload condition.

        Related parameters

        OpenDrainOutputPeakCurrentLevel, PeakCurrentLevel

        OpenDrainOutputOverloadCurrentLevel, OverloadCurrentLevel

      

      ",1026
0x5456,Open Drain Output,NotConnectedCh6,"

        

        Description

        Set when measured current is below the NotConnectedLevel.

        When is event evaluated

        When Open Drain output is enabled. In current control mode the CurrentReference has to be 75mA above the 

        NotConnectedLevel for the event to be evaluated. In manual and voltage control mode the duty cycle has to be above 25%. 

        Related parameters

        OpenDrainOutputNotConnectedLevel, NotConnectedLevel

    	      ",1016
0x5466,Open Drain Output,CurrMeasWhenOffCh6,"

        

        Description

        Set when more than 200 mA current is measured when the output should be off.

        When is event evaluated

        When Open Drain output is not enabled (i.e. disabled or tripped).

        Related parameters

        No related parameters.

    	

      ",1036
0x5500,HighSideDiagnostics,HighSideShC,"

      

        Description

        Set when HW Short Circuit signal is detected. Disabling of output required to clear event.

        When is event evaluated

        When High Side output is enabled. Checked at 50Hz. Signal is reset once and if signal  

        becomes active again within 100ms the event is set and output is latched in tripped state.

        Related parameters

        No related parameters.

      

    ",1100
0x5508,HighSideDiagnostics,HighSideOverload,"

      

        Description

        High continuous current on High side out.

        When is event evaluated

        Always

        Related parameters

        HighSide, HighSideOverloadCurrentLevel

        HighSide, HighSideOutCurrent

      

    ",1108
